timestamp,title,price,hotness_status,item_url,original_price,shipping,discount_percentage
3/19/2025 19:14,Microsoft Xbox Series S,299,Almost gone,https://www.ebay.com/itm/266190900217?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449,299,Shipping info unavailable,0
3/19/2025 19:14,Apple iPhone 15 Pro 256gb ( Unlocked) US E-Sim Version. Excellent,674.99,Almost gone,https://www.ebay.com/itm/166613095133?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449,674.99,Shipping info unavailable,0
3/19/2025 19:14,Google Pixel 8 Pro 128GB Factory Unlocked - Excellent,383.99,Almost gone,https://www.ebay.com/itm/226348022590?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449,383.99,Shipping info unavailable,0
3/19/2025 19:14,"Seagate EXOS X16 ST14000NM005G 14TB 256MB 7200rpm 3.5"" SATA 6Gb/s Enterprise HDD",147.99,,https://www.ebay.com/itm/176825170520?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014449,147.99,Shipping info unavailable,0
3/19/2025 19:14,Apple iPhone 14 Pro 128GB Unlocked - Excellent,446.95,Almost gone,https://www.ebay.com/itm/405469724990?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468,446.95,Shipping info unavailable,0
3/19/2025 19:14,Apple iPhone 13 128GB Unlocked - Excellent,291.95,,https://www.ebay.com/itm/404240045218?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468,291.95,Shipping info unavailable,0
3/19/2025 19:14,Apple iPhone 13 128GB Unlocked - Excellent,301.99,,https://www.ebay.com/itm/256350256024?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468,301.99,Shipping info unavailable,0
3/19/2025 19:14,Apple iPhone 13 Pro 256GB Unlocked - Excellent,402.95,,https://www.ebay.com/itm/386146593917?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014468,402.95,Shipping info unavailable,0
3/19/2025 19:14,"Lenovo LOQ 15.6"" FHD 144Hz Gaming Laptop i5-12450HX 12GB RAM 512GB SSD RTX 3050",599.99,Almost gone,https://www.ebay.com/itm/126480962681?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014452,599.99,Shipping info unavailable,0
3/19/2025 19:14,"Lenovo LOQ-E 15.6"" FHD 144Hz Gaming Laptop i5-12450HX 8GB RAM 512GB SSD RTX 2050",499.99,,https://www.ebay.com/itm/126754097392?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014452,499.99,Shipping info unavailable,0
3/19/2025 19:14,MacBook Air 15-inch 2024 M3 / 16GB RAM / 512GB SSD / 10-Core GPU / Midnight,1099,Almost gone,https://www.ebay.com/itm/256520205430?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014452,1099,Shipping info unavailable,0
3/19/2025 19:14,"Microsoft R1V-00009-SG 13.5"" 8GB 512GB Surface Laptop-5 - Certified Refurbished",459.99,,https://www.ebay.com/itm/135463162076?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014452,459.99,Shipping info unavailable,0
3/19/2025 19:14,Celestron 93973 SkyQ Link 2 Wi-Fi Module (Black),109.99,,https://www.ebay.com/itm/374232972694?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014464,109.99,Shipping info unavailable,0
3/19/2025 19:14,50-in-1 + Waterproof Case for Gopro Hero 12 11 10 Action Camera Accessory Kit,39.99,,https://www.ebay.com/itm/116174595662?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014464,39.99,Shipping info unavailable,0
3/19/2025 19:14,"DJI Osmo Mobile SE Gimbal, 3-Axis, Portable , Foldable, Android , iPhone Gimbal",69,,https://www.ebay.com/itm/305001613153?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014464,69,Shipping info unavailable,0
3/19/2025 19:14,AOCHUAN Smart XE 3-Axis Smartphone Gimbal Stabilizer for iPhone Android Phones,49,Almost gone,https://www.ebay.com/itm/405047322473?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014464,49,Shipping info unavailable,0
3/19/2025 19:14,"Bose Solo Soundbar 2 Home Theater, Certified Refurbished",149,Almost gone,https://www.ebay.com/itm/167031735841?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014481,149,Shipping info unavailable,0
3/19/2025 19:14,Onn. Google TV 4K Streaming 4K UHD Resolution 2023 Brand New,26,Almost gone,https://www.ebay.com/itm/225931956556?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014481,26,Shipping info unavailable,0
3/19/2025 19:14,BenQ GP500 4K HDR LED Smart Home Theater Projector 1500 Lm Auto Focus 1.3x zoom,734,,https://www.ebay.com/itm/166398780476?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014481,734,Shipping info unavailable,0
3/19/2025 19:14,Dreamlink Dlite W - ACCESSORY OF YOUR CHOICE,69.86,,https://www.ebay.com/itm/254839883292?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014481,69.86,Shipping info unavailable,0
3/19/2025 19:14,"Apple iPad 9 (2021) 10.2"" 64GB 256GB Space Gray Silver WiFi or Cellular - Good",189.99,Almost gone,https://www.ebay.com/itm/165337813141?_trkparms=5373%3A5000014449%7C5374%3ATech%7C5079%3A5000014454,189.99,Shipping info unavailable,0
